Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Google,1,2,44294.18,36191.03,AAA+,AAA+,,
Microsoft,2,5,42805.16,33604.48,AAA+,AAA+,,
Wal-Mart,3,1,36220.11,41365.13,AA,AA,,
IBM,4,4,36156.6,33705.9,AA+,AA,,
Vodafone,5,7,30674.28,28995.13,AAA+,AAA,,
Bank of America,6,12,30618.64,26046.91,AAA-,AAA+,,
GE,7,6,30503.57,31909.02,AA+,AA+,,
Apple,8,19,29542.67,19829.11,AAA,AAA-,,
Wells Fargo,9,15,28944.38,21915.51,AA+,AA,,
AT&T,10,11,28883.71,26585.18,AA+,AA+,,
HSBC,11,8,27632.11,28472.15,AAA,AAA+,,
Verizon,12,14,27293.41,23028.8,AA,AA,,
HP,13,9,26756.12,27383.14,AA+,AAA-,,
Toyota,14,10,26151.7,27318.67,AA+,AAA,,
Santander,15,13,26149.84,25576.48,AAA,AAA+,,
Coca-Cola,16,3,25806.56,34843.57,AAA+,AAA+,,
McDonald's,17,18,21841.74,20192.49,AAA,AAA-,,
Samsung Group,18,22,21512,18925.29,AA+,AA+,,
Tesco,19,17,21129.38,20654.43,AAA,AAA-,,
Mercedes-Benz,20,38,20797.66,13883.32,AA,A+,,
Mitsubishi,21,-,20472.86,-,AA,-,,
The Home Depot,22,21,20422.92,19013.3,AA-,AA-,,
BMW,23,28,20156.91,16616.43,AA+,AAA-,,
China Mobile,24,23,19316.65,18672.74,AA,AA+,,
Chase,25,40,19150.03,13399.83,AA-,AA,,
Intel,26,27,19077.73,16641.97,AA+,AA+,,
Bradesco,27,43,18677.84,13298.9,AAA,AAA-,,
Orange,28,24,18622.33,18351.76,AA+,AA,,
Shell,29,26,18605.05,16997.06,AAA-,AAA-,,
Nike,30,32,18436.88,15808.01,AAA,AAA,,
Amazon,31,42,17779.61,13339.54,AA,AA,,
Nestle,32,66,17455.13,11178.31,AA,AAA-,,
Barclays,33,45,17357.72,13133.71,AA,AA,,
ICBC,34,54,17193.81,12082.77,AA,AA+,,
Citi,35,35,17133.34,14362.35,AA,A+,,
China Construction Bank,36,55,17092.13,12076.47,AA,AA+,,
UPS,37,44,17012.22,13169.64,AA+,AA+,,
Siemens,38,34,16768.64,14709.2,AA+,AA+,,
Ford,39,51,16661.82,12651.64,AA+,AA,,
Itau,40,116,16654.89,6910.55,AA,AAA-,,
BNP Paribas,41,36,16643.3,14059.82,AAA-,AA,,
Honda,42,46,16356,13083.21,AAA-,AA+,,
Chevron,43,62,16265.09,11463.88,AA,AA,,
Target,44,33,15989.09,15224.11,AA,AA,,
American Express,45,50,15530,12737.04,AA,AA,,
Walt Disney,46,39,15424.16,13435.48,AAA+,AAA,,
Deutsche Bank,47,73,15169.05,9862.18,AA+,AA-,,
AXA,48,29,15099.09,16402.58,AA-,AA-,,
TATA,49,65,15086.56,11216.18,AAA-,AAA-,,
Movistar,50,77,14934.62,9666.03,AA,AA+,,
IKEA,51,-,14675.82,-,A-,-,,
Oracle,52,49,14602.22,12775.32,AA,AA+,,
Hitachi,53,-,14503.39,-,BBB,-,,
Pepsi-Cola,54,30,14362.69,15990.72,AA+,AA+,,
Marlboro,55,-,14218.68,-,D,-,,
ExxonMobil,56,76,13755.97,9683.45,AA+,AA,,
Nissan,57,68,13705.03,10411.82,AAA-,AA,,
Credit Suisse,58,91,13497.15,8430.03,AAA-,AA,,
Goldman Sachs,59,37,13406.36,13886.94,AAA-,AAA+,,
Bank of China,60,78,13256.55,9615.32,AA+,AA,,
JP Morgan,61,57,13240.58,11732.33,AA-,AA-,,
Sony,62,52,13194,12647.74,AAA-,AAA,,
GDF Suez,63,47,12902.31,12877.58,AA,A+,,
VW (Volkswagen),64,61,12704,11468.14,A+,AA+,,
Panasonic,65,159,12524.84,5438.1,AA,AA,,
Sberbank,66,58,12011.53,11729.35,AA+,AA+,,
Sam's Club,67,80,11951.76,9398.11,AA-,A+,,
Carrefour,68,79,11893.78,9436.24,AA,AA+,,
Comcast,69,56,11875.56,11979.28,AA+,AA+,,
Total,70,110,11827.63,7217.88,A+,AA-,,
Walgreens,71,70,11707.45,9983.43,AA-,AA-,,
Cisco,72,60,11666.98,11480.29,AA-,AA+,,
T-Mobile,73,69,11553.4,10125.91,AA,AA,,
PwC,74,72,11444.66,9907.66,AAA+,AAA,,
Toshiba,75,83,11135.89,8948.72,AA-,AA,,
Heineken,76,63,11108,11434.76,AAA-,AAA-,,
Olay,77,-,11066.45,-,AA,-,,
Dell,78,75,10982.8,9749.58,AAA-,AAA-,,
Allianz,79,48,10897.95,12836.06,AA,AA,,
Bbva,80,67,10719.95,10727.47,AA,AA-,,
ASDA,81,81,10688.82,9122.07,AA-,AA,,
Fedex,82,88,10686,8587.78,AA,AA-,,
United Healthcare,83,161,10605.72,5297.08,AA+,AA,,
3M,84,122,10532.14,6551.36,AA+,AA,,
E.ON,85,104,10512.88,7589.55,A+,AA-,,
